stream,eps,delta,width,depth,bytes,n,distinct,mean_err,p50,p95,p99,max_err,bound,violations,viol_frac,max_over_bound
uniform,0.01,0.01,512,5,20480,1000000,99995,1888.38,1890,1938,1955,2011,10000,0,0,0.2011
uniform,0.005,0.01,1024,5,40960,1000000,99995,924.657,926,962,976,1021,5000,0,0,0.2042
uniform,0.001,0.01,4096,5,163840,1000000,99995,211.04,213,232,240,262,1000,0,0,0.262
uniform,0.0005,0.01,8192,5,327680,1000000,99995,94.0409,95,111,118,137,500,0,0,0.274
zipf1.1,0.01,0.01,512,5,20480,1000000,64566,562.314,540,757,934,2375,10000,0,0,0.2375
zipf1.1,0.005,0.01,1024,5,40960,1000000,64566,222.266,216,310,389,1018,5000,0,0,0.2036
zipf1.1,0.001,0.01,4096,5,163840,1000000,64566,38.2003,37,57,71,169,1000,0,0,0.169
zipf1.1,0.0005,0.01,8192,5,327680,1000000,64566,14.5826,14,25,32,60,500,0,0,0.12
zipf2.0,0.01,0.01,512,5,20480,1000000,1416,1.53884,1,4,6,29,10000,0,0,0.0029
zipf2.0,0.005,0.01,1024,5,40960,1000000,1416,0.274718,0,1,3,4,5000,0,0,0.0008
zipf2.0,0.001,0.01,4096,5,163840,1000000,1416,0.000706215,0,0,0,1,1000,0,0,0.001
zipf2.0,0.0005,0.01,8192,5,327680,1000000,1416,0,0,0,0,0,500,0,0,0
