stream,hash,width,depth,n,distinct,cells_used_row0,mean_err,max_err,bound,violations,viol_frac,max_over_bound
uniform4k,two_universal,4096,5,1000000,4096,1158,3.62305,249,663.643,0,0,0.375202
uniform4k,weak_multiplicative,4096,5,1000000,4096,4096,0,0,663.643,0,0,0
uniform100k,two_universal,4096,5,1000000,99995,4096,211.04,262,663.643,0,0,0.394791
uniform100k,weak_multiplicative,4096,5,1000000,99995,4096,234.239,308,663.643,0,0,0.464105
zipf1.1,two_universal,4096,5,1000000,4096,1158,0.321533,55,663.643,0,0,0.0828759
zipf1.1,weak_multiplicative,4096,5,1000000,4096,4096,0,0,663.643,0,0,0
stride8,two_universal,4096,5,1000000,4096,3554,4.53735,262,663.643,0,0,0.394791
stride8,weak_multiplicative,4096,5,1000000,4096,512,1708.98,1849,663.643,4096,1,2.78614
stride64,two_universal,4096,5,1000000,4096,3145,6.6438,255,663.643,0,0,0.384243
stride64,weak_multiplicative,4096,5,1000000,4096,64,15380.9,15671,663.643,4096,1,23.6136
stride4096,two_universal,4096,5,1000000,4096,1394,2.04614,252,663.643,0,0,0.379722
stride4096,weak_multiplicative,4096,5,1000000,4096,1,999756,999812,663.643,4096,1,1506.55
