p,m,bytes,n_true,keys,trials,rmse_rel,rmse_rel_raw,mean_rel_bias,predicted_se
4,16,16,100,sequential,100,0.217832,0.217832,-0.0983208,0.26
4,16,16,100,random,100,0.274526,0.274526,-0.0161,0.26
4,16,16,1000,sequential,100,0.13767,0.13767,-0.135116,0.26
4,16,16,1000,random,100,0.280836,0.280836,0.0103903,0.26
4,16,16,10000,sequential,100,0.0534993,0.0534993,-0.0355069,0.26
4,16,16,10000,random,100,0.2474,0.2474,0.00176952,0.26
4,16,16,100000,sequential,100,0.228851,0.228851,-0.228122,0.26
4,16,16,100000,random,100,0.228582,0.228582,-0.0496713,0.26
4,16,16,1000000,sequential,100,0.290408,0.290408,0.290408,0.26
4,16,16,1000000,random,100,0.290906,0.290906,0.000390213,0.26
6,64,64,100,sequential,100,0.168178,0.0357423,-0.157979,0.13
6,64,64,100,random,100,0.116152,0.133722,0.0191628,0.13
6,64,64,1000,sequential,100,0.16727,0.16727,-0.129361,0.13
6,64,64,1000,random,100,0.123402,0.123402,-0.00903545,0.13
6,64,64,10000,sequential,100,0.189201,0.189201,-0.188899,0.13
6,64,64,10000,random,100,0.146402,0.146402,0.0219438,0.13
6,64,64,100000,sequential,100,0.082201,0.082201,0.0817759,0.13
6,64,64,100000,random,100,0.141589,0.141589,-0.00581338,0.13
6,64,64,1000000,sequential,100,0.0132707,0.0132707,0.0132707,0.13
6,64,64,1000000,random,100,0.138381,0.138381,-0.0060794,0.13
8,256,256,100,sequential,100,0.0501828,1.34337,-0.0447536,0.065
8,256,256,100,random,100,0.0486492,1.36086,-0.00443909,0.065
8,256,256,1000,sequential,100,0.0599079,0.0599079,-0.0519167,0.065
8,256,256,1000,random,100,0.0615629,0.0615629,-0.00319936,0.065
8,256,256,10000,sequential,100,0.0423381,0.0423381,-0.0413323,0.065
8,256,256,10000,random,100,0.0621393,0.0621393,0.00158139,0.065
8,256,256,100000,sequential,100,0.0696061,0.0696061,0.0695889,0.065
8,256,256,100000,random,100,0.0679587,0.0679587,0.00451987,0.065
8,256,256,1000000,sequential,100,0.0950486,0.0950486,0.0950486,0.065
8,256,256,1000000,random,100,0.070746,0.070746,-0.00534339,0.065
10,1024,1024,100,sequential,100,0.0250871,6.85621,-0.0223773,0.0325
10,1024,1024,100,random,100,0.0203852,6.86874,-0.00187976,0.0325
10,1024,1024,1000,sequential,100,0.0137951,0.329205,0.000523092,0.0325
10,1024,1024,1000,random,100,0.0266652,0.326565,-0.00357623,0.0325
10,1024,1024,10000,sequential,100,0.0143432,0.0143432,-0.0143,0.0325
10,1024,1024,10000,random,100,0.0341396,0.0341396,0.0024943,0.0325
10,1024,1024,100000,sequential,100,0.0350966,0.0350966,0.0350673,0.0325
10,1024,1024,100000,random,100,0.0352741,0.0352741,-0.00243543,0.0325
10,1024,1024,1000000,sequential,100,0.0450851,0.0450851,0.0450851,0.0325
10,1024,1024,1000000,random,100,0.0357839,0.0357839,-0.00159199,0.0325
12,4096,4096,100,sequential,100,0.0119813,29.0239,0.00708078,0.01625
12,4096,4096,100,random,100,0.0109985,29.0185,-0.000809796,0.01625
12,4096,4096,1000,sequential,100,0.0197196,2.46614,0.015256,0.01625
12,4096,4096,1000,random,100,0.0117563,2.46166,-0.00127995,0.01625
12,4096,4096,10000,sequential,100,0.0217128,0.0248895,0.0211771,0.01625
12,4096,4096,10000,random,100,0.0315107,0.0308277,0.0179981,0.01625
12,4096,4096,100000,sequential,100,0.0179422,0.0179422,0.0179419,0.01625
12,4096,4096,100000,random,100,0.0168961,0.0168961,-0.00199041,0.01625
12,4096,4096,1000000,sequential,100,0.0200476,0.0200476,0.0200454,0.01625
12,4096,4096,1000000,random,100,0.0174832,0.0174832,0.00128131,0.01625
14,16384,16384,100,sequential,100,0.00306423,117.63,0.00306423,0.008125
14,16384,16384,100,random,100,0.00556645,117.651,0.000146544,0.008125
14,16384,16384,1000,sequential,100,0.00980328,11.3016,0.00738615,0.008125
14,16384,16384,1000,random,100,0.00584688,11.3048,-0.000130701,0.008125
14,16384,16384,10000,sequential,100,0.00367897,0.731721,-0.00362436,0.008125
14,16384,16384,10000,random,100,0.00595932,0.732515,3.68845e-05,0.008125
14,16384,16384,100000,sequential,100,0.0150644,0.0150644,0.0150609,0.008125
14,16384,16384,100000,random,100,0.00702778,0.00702778,-0.00137132,0.008125
14,16384,16384,1000000,sequential,100,0.0224741,0.0224741,0.0224709,0.008125
14,16384,16384,1000000,random,100,0.00762496,0.00762496,-0.000735165,0.008125
16,65536,65536,100,sequential,100,0.000763716,472.196,0.000763716,0.0040625
16,65536,65536,100,random,100,0.00361884,472.184,-0.000237801,0.0040625
16,65536,65536,1000,sequential,100,0.00401786,46.756,0.00388976,0.0040625
16,65536,65536,1000,random,100,0.00307825,46.753,-0.000283485,0.0040625
16,65536,65536,10000,sequential,100,0.00189849,4.22495,-0.00175508,0.0040625
16,65536,65536,10000,random,100,0.00280519,4.22526,-0.000104167,0.0040625
16,65536,65536,100000,sequential,100,0.00283599,0.12555,0.00283573,0.0040625
16,65536,65536,100000,random,100,0.00347936,0.122296,-0.000827623,0.0040625
16,65536,65536,1000000,sequential,100,0.00717327,0.00717327,0.00717325,0.0040625
16,65536,65536,1000000,random,100,0.00400116,0.00400116,-0.000894908,0.0040625
