stream,k,n,distinct,max_underest,bound,violations,heavy_true,heavy_found
uniform,8,1000000,99995,27,111111,0,0,0
uniform,32,1000000,99995,27,30303,0,0,0
uniform,128,1000000,99995,27,7751.94,0,0,0
uniform,512,1000000,99995,27,1949.32,0,0,0
zipf1.1,8,1000000,64566,108113,111111,0,1,1
zipf1.1,32,1000000,64566,25238,30303,0,3,3
zipf1.1,128,1000000,64566,5216,7751.94,0,13,13
zipf1.1,512,1000000,64566,1019,1949.32,0,46,46
zipf2.0,8,1000000,1416,26858,111111,0,2,2
zipf2.0,32,1000000,1416,2164,30303,0,4,4
zipf2.0,128,1000000,1416,142,7751.94,0,8,8
zipf2.0,512,1000000,1416,8,1949.32,0,17,17
