position,inclusion_freq,expected_p
0,0.0521,0.05
1,0.0494,0.05
2,0.0517,0.05
3,0.04885,0.05
4,0.0497,0.05
5,0.04885,0.05
6,0.04885,0.05
7,0.04865,0.05
8,0.0484,0.05
9,0.04855,0.05
10,0.0488,0.05
11,0.0515,0.05
12,0.0509,0.05
13,0.0526,0.05
14,0.04775,0.05
15,0.0504,0.05
16,0.04975,0.05
17,0.0505,0.05
18,0.0511,0.05
19,0.05085,0.05
20,0.0485,0.05
21,0.05075,0.05
22,0.04865,0.05
23,0.05205,0.05
24,0.05,0.05
25,0.0486,0.05
26,0.0473,0.05
27,0.0513,0.05
28,0.0528,0.05
29,0.0513,0.05
30,0.0493,0.05
31,0.05015,0.05
32,0.05005,0.05
33,0.05115,0.05
34,0.0524,0.05
35,0.0491,0.05
36,0.0488,0.05
37,0.0499,0.05
38,0.04725,0.05
39,0.0497,0.05
40,0.05015,0.05
41,0.05075,0.05
42,0.0501,0.05
43,0.0489,0.05
44,0.0511,0.05
45,0.05085,0.05
46,0.05175,0.05
47,0.05215,0.05
48,0.05035,0.05
49,0.0512,0.05
50,0.0467,0.05
51,0.04885,0.05
52,0.0532,0.05
53,0.052,0.05
54,0.0507,0.05
55,0.0473,0.05
56,0.05025,0.05
57,0.04895,0.05
58,0.0502,0.05
59,0.05365,0.05
60,0.05055,0.05
61,0.0501,0.05
62,0.04895,0.05
63,0.05025,0.05
64,0.051,0.05
65,0.0488,0.05
66,0.04895,0.05
67,0.0482,0.05
68,0.052,0.05
69,0.0494,0.05
70,0.0498,0.05
71,0.0477,0.05
72,0.0506,0.05
73,0.0481,0.05
74,0.05105,0.05
75,0.04705,0.05
76,0.04895,0.05
77,0.04955,0.05
78,0.0529,0.05
79,0.04565,0.05
80,0.0521,0.05
81,0.05225,0.05
82,0.0498,0.05
83,0.05,0.05
84,0.0482,0.05
85,0.05165,0.05
86,0.05145,0.05
87,0.0514,0.05
88,0.0515,0.05
89,0.0507,0.05
90,0.0483,0.05
91,0.0486,0.05
92,0.0507,0.05
93,0.049,0.05
94,0.0504,0.05
95,0.05015,0.05
96,0.04715,0.05
97,0.04935,0.05
98,0.0501,0.05
99,0.04975,0.05
100,0.04845,0.05
101,0.05185,0.05
102,0.04915,0.05
103,0.04775,0.05
104,0.0498,0.05
105,0.0509,0.05
106,0.04955,0.05
107,0.0473,0.05
108,0.04995,0.05
109,0.05045,0.05
110,0.0508,0.05
111,0.05195,0.05
112,0.05025,0.05
113,0.04765,0.05
114,0.0509,0.05
115,0.05025,0.05
116,0.04875,0.05
117,0.05,0.05
118,0.0497,0.05
119,0.0508,0.05
120,0.049,0.05
121,0.05125,0.05
122,0.0496,0.05
123,0.0504,0.05
124,0.05065,0.05
125,0.04985,0.05
126,0.0477,0.05
127,0.04965,0.05
128,0.05045,0.05
129,0.04765,0.05
130,0.04875,0.05
131,0.0523,0.05
132,0.04865,0.05
133,0.05025,0.05
134,0.04835,0.05
135,0.0477,0.05
136,0.0482,0.05
137,0.047,0.05
138,0.04915,0.05
139,0.0511,0.05
140,0.0523,0.05
141,0.0504,0.05
142,0.04875,0.05
143,0.0508,0.05
144,0.04935,0.05
145,0.04875,0.05
146,0.0499,0.05
147,0.04635,0.05
148,0.05065,0.05
149,0.05225,0.05
150,0.0507,0.05
151,0.05215,0.05
152,0.0514,0.05
153,0.04835,0.05
154,0.04915,0.05
155,0.05305,0.05
